name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Rangi,Uzatma,Kami bor,price
Chevrolet Malibu 2,Farg'ona,2018,2.4 (Benzin),Sedan,30 000 km,Avtomat,Oq,Oldi,Ha,25500
Chevrolet Cobalt,Namangan,2019,1.5 (Gaz-benzin),Sedan,105 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,10800
Hyundai Accent,Toshkent,2011,1.6 (Benzin),Sedan,143 000 km,Avtomat,Oq,Oldi,,9500
Hyundai Tucson,Toshkent,2020,2 (Benzin),Krossover,12 000 km,Avtomat,Mokriy asfalt,To'liq,Ha,34903
Chevrolet Lacetti,Toshkent,2019,1.6 (Benzin),Sedan,40 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,12700
Hyundai Santa Fe,Toshkent,2020,2.4 (Benzin),Krossover,21 800 km,Avtomat,Qora,To'liq,Ha,43900
Opel Vivaro,Namangan,2015,1.6 (Dizel),Universal,267 000 km,Mexanika,,Oldi,Ha,14728
Chevrolet Tracker,Samarqand,2018,,,84 000 km,Avtomat,Oq,,Ha,15500
Chevrolet Lacetti,Buxoro,2022,1.5 (Benzin),Sedan,,Avtomat,Qora,Oldi,,15400
Hyundai Tucson,Toshkent,2020,2 (Benzin),Krossover,32 000 km,Avtomat,Qizil,To'liq,Ha,33241
VAZ (Lada) Vesta,Jizzax,2018,1.8 (Benzin),Universal,57 000 km,Robot,To'q sariq,Oldi,,11542
Kia Sorento,Toshkent,2022,2.5 (Benzin),Yo‘ltanlamas,5 100 km,Avtomat,Qora,To'liq,Ha,49000
Hyundai Tucson,Toshkent,2020,2 (Benzin),Krossover,35 000 km,Avtomat,Oq,To'liq,Ha,33149
Chevrolet Lacetti,Samarqand,2022,1.8 (Benzin),Sedan,300 km,Mexanika,Oq,Oldi,Ha,12500
VAZ (Lada) Niva 5-ta eshikli,Shovot tumani,2018,1.7 (Gaz-benzin),Yo‘ltanlamas,11 000 km,Mexanika,Qora,To'liq,,12500
Chevrolet Lacetti,Samarqand,2022,1.6 (Benzin),Sedan,2 000 km,Avtomat,Oq,Oldi,Ha,15500
VAZ (Lada) 2101,Samarqand,1980,,Sedan,1 300 km,Mexanika,Qaymoq rang,Orqa,,1385
Hyundai Tucson,Toshkent,2020,2 (Benzin),Krossover,56 100 km,Avtomat,Mokriy asfalt,To'liq,Ha,31800
Chevrolet Nexia 3,Toshkent,2019,1.5 (Benzin),Sedan,40 400 km,Mexanika,Oq,Oldi,,8500
Moskvich AZLK 2140,Samarqand,1986,1.5 (Gaz-benzin),Sedan,630 000 km,Mexanika,Yashil,Orqa,,1385
Daewoo Nexia,Toshkent,2004,1.5 (Gaz-benzin),Sedan,253 000 km,Mexanika,Oq,Oldi,Ha,4500
Chevrolet Lacetti,Angren,2021,1.6 (Benzin),Sedan,14 000 km,Avtomat,Qora,Oldi,Ha,14600
Chevrolet Cobalt,Toshkent,2022,1.5 (Gaz-benzin),Sedan,4 000 km,Avtomat,Oq,Oldi,,14000
Chevrolet Lacetti,Toshkent,2018,1.5 (Gaz-benzin),Sedan,77 000 km,Avtomat,Oq,Oldi,Ha,12500
Chevrolet Matiz,Toshkent,2011,0.8 (Benzin),Hatchback,49 789 km,Mexanika,Oq,Oldi,Ha,4800
Chevrolet Matiz,Andijon,2012,0.8 (Benzin),Hatchback,290 000 km,Avtomat,Oq,Oldi,,4500
Hyundai Creta,Namangan,2020,1.6 (Gaz-benzin),Yo‘ltanlamas,31 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,21900
Ravon Gentra,Toshkent,2014,1.5 (Benzin),Sedan,120 000 km,Mexanika,Oq,Oldi,Ha,8800
Chevrolet Nexia 3,Toshkent,2017,1.5 (Benzin),Sedan,86 000 km,Mexanika,Oq,Oldi,Ha,8650
Opel Combo,Qo'qon,2011,1.5 (Gaz-benzin),Miniven,356 000 km,Mexanika,,Oldi,,8000
Chevrolet Matiz,Buxoro,2017,0.8 (Gaz-benzin),Hatchback,28 000 km,Mexanika,Oq,Oldi,,5078
Chevrolet Damas,Toshkent,2010,0.8 (Benzin),Sedan,161 000 km,Mexanika,Qaymoq rang,Oldi,,5500
VAZ (Lada) Vesta,Andijon,2021,1.6 (Gaz-benzin),Hatchback,14 000 km,Mexanika,,Oldi,Ha,15000
Chevrolet Lacetti,Nukus,2020,1.8 (Gaz),Sedan,61 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,11542
Honda FCX Clarity,Toshkent,2017,1.5 (Gibrid),Sedan,56 000 km,Variator,,Oldi,Ha,32500
Chevrolet Lacetti,Toshkent,2014,1.8 (Benzin),Sedan,204 000 km,Mexanika,Mokriy asfalt,Oldi,,8772
Chevrolet Nexia 2,Toshkent,2009,1.6 (Benzin),Sedan,173 000 km,Mexanika,Kumush rang,Oldi,Ha,6464
GAZ 31105 (Volga),Toshkent,2005,,Sedan,190 000 km,Mexanika,Kumush rang,Orqa,,4500
Chevrolet Orlando,Toshkent,2014,,Miniven,139 000 km,Mexanika,Oq,,,14500
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Hatchback,1 150 km,Avtomat,Oq,Oldi,,11000
Chevrolet Lacetti,Guliston,2020,1.8 (Gaz-benzin),Sedan,100 000 km,Mexanika,Oq,Oldi,,11500
Chevrolet Nexia 2,Toshkent,2010,1.6 (Benzin),Sedan,114 600 km,Mexanika,Oq,Oldi,Ha,6000
Buick Velite 6,Toshkent,2020,,Universal,200 km,Avtomat,Delfin,Oldi,Ha,29500
Daewoo Gentra,Toshkent,2015,1.5 (Benzin),Sedan,68 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,11500
Hyundai Creta,Toshkent,2020,1.6 (Benzin),Yo‘ltanlamas,27 000 km,Avtomat,,Oldi,Ha,21000
Chevrolet Nexia 2,Navoiy,2013,1.6 (Gaz-benzin),Sedan,245 000 km,Mexanika,Oq,Oldi,Ha,6250
Chevrolet Malibu 2,Namangan,2018,2.4 (Benzin),Sedan,41 000 km,Avtomat,Oq,,Ha,25000
Chevrolet Nexia 3,Farg'ona,2019,1.5 (Gaz-benzin),Sedan,60 000 km,Mexanika,Oq,Oldi,Ha,8700
Chevrolet Captiva,Toshkent,2015,3.2 (Benzin),Krossover,62 500 km,Avtomat,Oq,To'liq,Ha,19000
Chevrolet Cobalt,Toshkent,2019,1.5 (Gaz-benzin),Sedan,60 000 km,Avtomat,Oq,Oldi,,11500
Kia Carnival,Andijon,2016,2.2 (Dizel),Yo‘ltanlamas,208 000 km,Avtomat,Delfin,Oldi,Ha,21000
Chevrolet Lacetti,Toshkent,2012,1.8 (Gaz-benzin),Sedan,210 000 km,Avtomat,Kumush rang,Oldi,,7700
Chevrolet Lacetti,Navoiy,2019,1.6 (Gaz-benzin),Sedan,64 000 km,Mexanika,Oq,Oldi,,12465
GAZ 31029 (Volga),Toshkent,1996,2 (Gaz),Miniven,1 000 km,Mexanika,Oq,Oldi,Ha,1900
Chevrolet Nexia 3,Toshkent,2018,1.5 (Benzin),Sedan,43 000 km,Avtomat,Oq,Oldi,,9880
Chevrolet Captiva,Qarshi,2012,3 (Benzin),Krossover,124 500 km,Avtomat,Kumush rang,To'liq,Ha,12800
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,12250
Ravon R2,Toshkent,2018,1.3 (Benzin),Sedan,28 200 km,Avtomat,Oq,To'liq,Ha,9100
Chevrolet Nexia 3,Samarqand,2019,1.5 (Benzin),Sedan,17 000 km,Mexanika,Oq,Oldi,,8700
VAZ (Lada) 2107,Namangan,2011,1.6 (Benzin),Sedan,112 000 km,Avtomat,Xameleon,Orqa,Ha,6700
Chevrolet Spark,Toshkent,2020,1.3 (Benzin),Hatchback,54 000 km,Mexanika,Oq,Oldi,,10000
Chevrolet Nexia 3,Toshkent,2018,1.5 (Benzin),Sedan,59 000 km,Avtomat,Oq,Oldi,Ha,9000
Chevrolet Lacetti,Toshkent,2019,1.8 (Gaz-benzin),Sedan,80 000 km,Mexanika,Oq,Oldi,Ha,11500
Chevrolet Nexia 2,Toshkent,2008,1.6 (Benzin),Sedan,210 000 km,Mexanika,Kumush rang,Oldi,Ha,5500
Chevrolet Matiz,Toshkent,2013,0.8 (Benzin),Hatchback,273 000 km,Mexanika,Oq,Oldi,Ha,4100
Chevrolet Lacetti,Toshkent,2018,1.5 (Benzin),Sedan,67 717 km,Mexanika,Oq,Oldi,Ha,11500
Leap Motor C11,Toshkent,2022,3 (Elektr),Universal,2 300 km,Avtomat,Qora,Orqa,Ha,44000
Chevrolet Tracker,Toshkent,2019,,,70 000 km,Avtomat,Qora,,Ha,16500
Chevrolet Lacetti,Navoiy,2020,1.8 (Benzin),Sedan,27 816 km,Mexanika,Qora,Oldi,Ha,12000
Chevrolet Damas,Samarqand,2017,3.8 (Gaz-benzin),Universal,68 000 km,Mexanika,Oq,Orqa,Ha,7300
Daewoo Matiz Creative,Toshkent,2007,,Hatchback,310 000 km,Mexanika,Oq,Oldi,Ha,3200
Chevrolet Nexia 3,Toshkent,2019,1.5 (Benzin),Sedan,35 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,9500
Mercedes-Benz C 180,Farg'ona,1996,1.8 (Gaz-benzin),Sedan,471 000 km,Mexanika,,Orqa,,7000
Daewoo Nexia,Toshkent,2006,1.5 (Benzin),Sedan,206 500 km,Mexanika,Oq,Oldi,Ha,5000
Chevrolet Lacetti,Toshkent,2009,1.8 (Benzin),Sedan,61 200 km,Avtomat,Kumush rang,Oldi,,9500
Chevrolet Spark,Toshkent,2016,1.3 (Benzin),Hatchback,87 000 km,Mexanika,Oq,Oldi,,7000
Chevrolet Nexia 2,Toshkent,2013,1.6 (Gaz-benzin),Sedan,220 000 km,Mexanika,Oq,Oldi,,6500
Chevrolet Matiz Best,Toshkent,2010,1 (Gaz-benzin),Hatchback,230 000 km,Mexanika,Kulrang,Oldi,Ha,4500
Chevrolet Spark,Toshkent,2012,1.3 (Benzin),Hatchback,278 500 km,Mexanika,Oq,Oldi,Ha,5900
Chevrolet Damas,Narpay tumani,2021,,Hatchback,64 000 km,Mexanika,Oq,Orqa,Ha,8100
Chevrolet Malibu,Toshkent,2013,2.4 (Benzin),Sedan,131 000 km,Mexanika,Xameleon,Oldi,,14200
Chevrolet Labo,Toshkent,2020,3.8 (Gaz-benzin),Universal,38 000 km,Mexanika,Oq,Oldi,,8500
Chevrolet Lacetti,Toshkent,2010,1.6 (Benzin),Sedan,152 000 km,Avtomat,Oq,Oldi,Ha,7800
VAZ (Lada) 2104,Samarqand,2012,,Universal,210 000 km,Mexanika,Kumush rang,Orqa,Ha,5500
Mercedes-Benz E 240,Toshkent,2000,2.4 (Benzin),Sedan,352 000 km,Avtomat,Kumush rang,Orqa,,12499
Chevrolet Lacetti,Toshkent,2016,1.5 (Gaz-benzin),Sedan,54 800 km,Mexanika,Kumush rang,Oldi,Ha,9300
Daewoo Nexia,Toshkent,1999,,Sedan,670 000 km,Mexanika,Ko'k,Oldi,,4300
Chevrolet Nexia 3,Sho'rchi tumani,2019,1.5 (Gaz-benzin),Sedan,29 000 km,Mexanika,Oq,Oldi,Ha,9972
Chevrolet Orlando,Samarqand,2014,1.8 (Benzin),Miniven,83 000 km,Mexanika,Oq,,Ha,13200
Ford Transit,Namangan,2013,2.2 (Dizel),Universal,239 000 km,Mexanika,Yashil,Oldi,,13000
Chevrolet Lacetti,Toshkent,2019,1.8 (Benzin),Sedan,33 000 km,Mexanika,Oq,Oldi,,11000
Skoda Kodiaq,Toshkent,2021,2 (Benzin),Krossover,9 000 km,Avtomat,Qora,To'liq,,41000
Chevrolet Lacetti,Buxoro,2020,1.6 (Gaz-benzin),Sedan,22 000 km,Avtomat,Oq,Oldi,Ha,13500
VAZ (Lada) XRAY,Qo'qon,2019,1.8 (Benzin),Hatchback,50 000 km,Mexanika,Oq,Oldi,,12000
Chevrolet Cobalt,Toshkent,2020,1.5 (Gaz-benzin),Sedan,175 000 km,Avtomat,,Oldi,Ha,10800
Chevrolet Lacetti,Toshkent,2016,1.5 (Benzin),Sedan,117 000 km,Mexanika,Oq,Oldi,Ha,9450
Chevrolet Lacetti,Mirishkor tumani,2022,1.8 (Benzin),Sedan,70 km,Mexanika,Oq,Oldi,,12742
Volkswagen Transporter,Farg'ona,2006,1.9 (Dizel),Universal,,Mexanika,Qaymoq rang,Oldi,Ha,9500
Chevrolet Captiva,Toshkent,2013,3.2 (Benzin),Krossover,80 000 km,Avtomat,Qaymoq rang,To'liq,,16500
Chevrolet Cobalt,Termiz,2019,1.5 (Benzin),Sedan,26 000 km,Mexanika,Oq,Oldi,Ha,11500
Chevrolet Lacetti,Jizzax,2019,1.6 (Gaz-benzin),Sedan,52 000 km,Avtomat,,Oldi,,14500
Chevrolet Spark,Olmaliq,2020,1.3 (Benzin),Hatchback,24 300 km,Avtomat,Kumush rang,Oldi,Ha,8800
Chevrolet Spark,Toshkent,2011,1 (Benzin),Hatchback,308 000 km,Mexanika,Oq,Oldi,Ha,4750
Chevrolet Cobalt,Toshkent,2015,1.5 (Benzin),Sedan,146 000 km,Mexanika,Oq,Oldi,Ha,8900
Chevrolet Cobalt,Toshkent,2015,1.5 (Benzin),Sedan,27 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,9600
Chevrolet Spark,Toshkent,2013,1.25 (Benzin),Hatchback,282 000 km,Avtomat,Delfin,Oldi,Ha,5800
Hyundai Elantra,Toshkent,2020,2 (Benzin),Sedan,10 000 km,Avtomat,Oq,Oldi,Ha,30471
Hyundai Elantra,Toshkent,2022,1.6 (Benzin),Sedan,,Avtomat,Ko'k,Oldi,,30102
Chevrolet Captiva,Qarshi,2011,2.4 (Benzin),Krossover,98 000 km,Mexanika,Qaymoq rang,To'liq,Ha,15000
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,12 200 km,Avtomat,Qora,Oldi,Ha,14500
Hyundai Creta,Samarqand,2021,1.6 (Benzin),Yo‘ltanlamas,,Avtomat,Jigar rang,To'liq,,27331
Hyundai Elantra,Qarshi,2022,2 (Benzin),Sedan,,Avtomat,Qora,Oldi,,35549
Chevrolet Malibu 2,Toshkent,2018,2.4 (Benzin),Sedan,76 000 km,Avtomat,Qora,Oldi,Ha,26500
Hyundai Sonata,Jizzax,2022,2.5 (Benzin),Sedan,,Avtomat,Qizil,Oldi,,44968
Chevrolet Nexia 2,Namangan,2014,1.5 (Gaz-benzin),Sedan,153 835 km,Mexanika,Delfin,Oldi,Ha,6000
Hyundai Sonata,Qarshi,2022,2.5 (Benzin),Sedan,,Avtomat,Kulrang,Oldi,,37396
Hyundai Elantra,Samarqand,2021,2 (Benzin),Sedan,,Avtomat,Ko'k,Oldi,,35549
Chevrolet Lacetti,Toshkent,2017,1.6 (Gaz-benzin),Sedan,62 000 km,Avtomat,Oq,Oldi,Ha,12000
Hyundai Tucson,Samarqand,2022,2 (Benzin),Yo‘ltanlamas,,Avtomat,Qizil,To'liq,,35919
Chevrolet Spark,Toshkent,2018,1.3 (Benzin),Hatchback,54 000 km,Avtomat,Oq,Oldi,Ha,8300
Hyundai Santa Fe,Samarqand,2021,2.5 (Benzin),Yo‘ltanlamas,,Avtomat,Kulrang,To'liq,,62327
Chevrolet Nexia 3,Beruniy,2018,1.5 (Gaz-benzin),Sedan,55 000 km,Mexanika,Oq,Oldi,Ha,9234
Chevrolet Lacetti,Toshkent,2021,1.5 (Benzin),Sedan,18 000 km,Avtomat,Oq,Oldi,,13800
Chevrolet Spark,Toshkent,2015,1.3 (Benzin),Hatchback,88 000 km,Mexanika,Kumush rang,Oldi,Ha,6999
Kia Carnival,Toshkent,2016,2.2 (Dizel),Universal,186 000 km,Avtomat,Qora,Oldi,Ha,23000
VAZ (Lada) 2107,To'rtko'l tumani,1998,,Sedan,89 767 km,Mexanika,Oq,Orqa,Ha,2585
Hyundai i30,Toshkent,2008,1.6 (Benzin),Hatchback,264 000 km,Mexanika,Qora,,Ha,9000
Chevrolet Lacetti,Toshkent,2015,1.5 (Gaz-benzin),Sedan,150 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,10300
Chevrolet Cobalt,Toshkent,2021,1.5 (Benzin),Sedan,15 700 km,Avtomat,Mokriy asfalt,Oldi,,11900
Chevrolet Cobalt,Toshkent,2018,1.5 (Gaz-benzin),Sedan,72 000 km,Avtomat,Oq,Oldi,,10300
Chevrolet Captiva,Buxoro,2017,3 (Benzin),Krossover,64 910 km,Avtomat,Mokriy asfalt,To'liq,Ha,22800
Chevrolet Malibu 2,Toshkent,2022,2 (Benzin),Sedan,25 km,Avtomat,Qora,Oldi,Ha,36000
Chevrolet Captiva,Toshkent,2018,2.4 (Benzin),Krossover,,Avtomat,Oq,To'liq,,24300
Chevrolet Cobalt,Toshkent,2015,1.5 (Benzin),Sedan,65 000 km,Avtomat,Kumush rang,Oldi,Ha,10500
Daewoo Damas,Farg'ona,1996,,Yo‘ltanlamas,777 777 km,Mexanika,,Orqa,Ha,3000
Chevrolet Malibu,Toshkent,2018,2.4 (Benzin),Sedan,85 000 km,Avtomat,Oq,Oldi,,23500
VAZ (Lada) 2106,Toshkent,1982,1.6 (Benzin),Sedan,,Mexanika,Jigarrang,Orqa,Ha,1800
Hyundai Palisade,Toshkent,2022,3.5 (Benzin),Krossover,,Avtomat,Ko'k-xavorang,,,67682
Chevrolet Lacetti,Namangan,2015,1.8 (Gaz-benzin),Sedan,165 000 km,Mexanika,Oq,Oldi,Ha,10000
Hyundai Santa Fe,Toshkent,2022,3.5 (Benzin),Krossover,,Avtomat,Oq,To'liq,,62327
Hyundai Tucson,Toshkent,2022,2.5 (Benzin),Krossover,,Avtomat,Qizil,To'liq,,47461
Chevrolet Lacetti,Toshkent,2014,1.8 (Benzin),Sedan,94 000 km,Avtomat,Kumush rang,Oldi,Ha,9300
Hyundai Tucson,Toshkent,2022,2 (Benzin),Krossover,,Avtomat,Qora,To'liq,,43490
Hyundai Sonata,Toshkent,2022,2 (Benzin),Sedan,,Avtomat,Qora,Oldi,,37488
Polestar 2,Toshkent,2021,1 (Elektr),Sedan,,Avtomat,Qora,To'liq,,48500
NIO ES8,Toshkent,2020,1 (Elektr),Krossover,19 845 km,Variator,Kulrang,To'liq,,80000
Weltmeister EX5,Toshkent,2022,1 (Elektr),Yo‘ltanlamas,,Avtomat,Kumush rang,To'liq,,36730
Xpeng P7,Toshkent,2020,1 (Elektr),Sedan,,Avtomat,Oq,,,59500
BYD Yuan EV,Toshkent,2022,1 (Elektr),Yo‘ltanlamas,,Avtomat,Kulrang,Oldi,,32985
BYD Tang Ev,Toshkent,2020,1 (Elektr),Krossover,,Avtomat,,,,80000
BYD Song Plus EV,Toshkent,2022,,Krossover,,Variator,,Oldi,,40623
Hyundai Santa Fe,Toshkent,2022,2.5 (Benzin),Krossover,,Avtomat,Oq,To'liq,,56048
NIO EC6,Toshkent,2021,1 (Elektr),Krossover,,Avtomat,Qora,To'liq,,80882
Hyundai Elantra,Toshkent,2022,1.6 (Benzin),Sedan,,Avtomat,Qora,Oldi,,26685
Isuzu D-Max,Toshkent,2020,3 (Dizel),Pikup,30 000 km,Avtomat,Qora,To'liq,Ha,34000
Chevrolet Captiva,Olmaliq,2012,2.4 (Benzin),Krossover,158 000 km,Avtomat,Kumush rang,To'liq,Ha,13500
Daewoo Matiz (Standart),Toshkent,2015,,Universal,115 000 km,,Oq,,Ha,5000
Hyundai Tucson,Toshkent,2020,2 (Benzin),Hatchback,40 000 km,Avtomat,Qora,To'liq,Ha,32000
Chevrolet Lacetti,Jizzax,2019,1.5 (Gaz-benzin),Sedan,52 000 km,Avtomat,,Oldi,Ha,14500
Chevrolet Lacetti,Toshkent,2013,1.6 (Gaz-benzin),Sedan,137 000 km,Avtomat,Oq,Oldi,Ha,9250
Hyundai Starex,Andijon,2009,,Miniven,,Mexanika,Qora,,Ha,13500
Chevrolet Tracker,Toshkent,2019,,,6 700 km,Avtomat,Qora,,,20000
Chevrolet Cobalt,Toshkent,2020,1.5 (Benzin),Sedan,31 560 km,Mexanika,Oq,Oldi,Ha,10900
Chevrolet Spark,Buxoro,2021,1.3 (Benzin),Hatchback,4 000 km,Mexanika,Oq,Oldi,Ha,9000
Hafei Brio,Buxoro,2007,,Mikroavtobus,,Mexanika,Oq,Orqa,,3047
Isuzu D-Max,Toshkent,2022,3 (Dizel),Pikup,1 km,Avtomat,Oq,To'liq,,41551
Isuzu D-Max,Toshkent,2022,7.6 (Dizel),Pikup,1 km,Mexanika,Oq,Orqa,,29086
Chevrolet Nexia 3,Toshkent,2017,1.5 (Benzin),Sedan,75 000 km,Avtomat,Oq,Oldi,Ha,8800
Chevrolet Malibu,Qo'qon,2015,2.4 (Benzin),Sedan,44 000 km,Avtomat,Oq,Oldi,,18900
Hyundai Porter,Termiz,2014,3.2 (Gaz),Furgon,236 000 km,Avtomat,,Orqa,Ha,13200
Volkswagen ID.4,Toshkent,2022,2.4 (Elektr),Yo‘ltanlamas,,Avtomat,Oq,Orqa,Ha,36350
Hyundai Santa Fe,Farg'ona,2022,2.5 (Benzin),,14 000 km,Avtomat,Mokriy asfalt,To'liq,Ha,45000
BMW M3,Toshkent,1992,2 (Benzin),Sedan,365 000 km,Mexanika,Yashil,Orqa,,5000
Chevrolet Orlando,Qo'qon,2014,,Miniven,99 000 km,Avtomat,Oq,,Ha,13500
Daewoo Nexia,Toshkent,2004,,Sedan,358 000 km,Mexanika,,Oldi,,3800
Chevrolet Lacetti,Toshkent,2021,1.5 (Benzin),Sedan,21 600 km,Avtomat,Qora,Oldi,Ha,17000
Skoda Kodiaq,Toshkent,2021,2 (Benzin),Krossover,10 km,Avtomat,Qora,To'liq,,42500
Chevrolet Cobalt,Toshkent,2019,1.5 (Benzin),Sedan,60 000 km,Mexanika,Oq,Oldi,Ha,10500
Chevrolet Lacetti,Toshkent,2013,1.8 (Gaz-benzin),Sedan,135 km,Mexanika,Qora,Oldi,,8500
Chevrolet Captiva,Toshkent,2008,3.2 (Gaz-benzin),Krossover,150 000 km,Avtomat,Yashil,To'liq,,20000
Chevrolet Cobalt,Toshkent,2020,1.5 (Benzin),Sedan,65 000 km,Mexanika,Oq,Oldi,Ha,9600
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,112 km,Avtomat,Oq,Oldi,,9972
Chevrolet Lacetti,Toshkent,2021,1.5 (Benzin),,7 000 km,Mexanika,Oq,,,11900
